"Case Number","Case Date","Status","Completion Date","Address","City","State","Zip Code","City PIN","County","Council District","Police District","Neighborhood","Latitude","Longitude","Mapping Location"
"1188858","11/06/2017","C","02/19/2019","3109 PEERY AVE","Kansas City","MO","64127","10900","Jackson","3","East","Independence Plaza","39.099308","-94.54552","3109 PEERY AVE   64127 (39.099308, -94.54552)"
"1215290","03/22/2019","C","09/03/2020","5915 Wabash Ave","Kansas City","MO","64130","104441","Jackson","5","Metro","Blue Hills","39.018788","-94.556613","5915 Wabash Ave   64130 (39.018788, -94.556613)"
"1068105","06/29/2012","C","08/03/2012","2605 POPLAR AVE","Kansas City","MO","64127","19771","Jackson","3","East","East Community Team South","39.077727","-94.525497","2605 POPLAR AVE   64127 (39.077727, -94.525497)"
"1048434","08/24/2011","C","05/01/2019","2944 Wabash Ave","Kansas City","MO","64109","27048","Jackson","3","Central","Key Coalition","39.071853","-94.554233","2944 Wabash Ave   64109 (39.071853, -94.554233)"
"1223275","07/10/2019","C","01/16/2020","306 EWING AVE","Kansas City","MO","64125","227983","Jackson","4","East","Sheffield","39.107981","-94.502942","306 EWING AVE   64125 (39.107981, -94.502942)"
"1061748","04/16/2012","C","02/20/2014","3026 Askew Ave","Kansas City","MO","64128","23945","Jackson","3","East","Ingleside","39.070363","-94.541665","3026 Askew Ave   64128 (39.070363, -94.541665)"
"1047717","08/18/2011","C","02/09/2016","3742 South Benton Ave","Kansas City","MO","64128","28893","Jackson","3","East","Oak Park Northwest","39.057256","-94.550371","3742 South Benton Ave   64128 (39.057256, -94.550371)"
"1233180","12/24/2019","C","10/15/2020","3906 E 12th Ter","Kansas City","MO","64127","11254","Jackson","3","East","Lykins","39.09773","-94.536214","3906 E 12th Ter   64127 (39.09773, -94.536214)"
"1210828","11/30/2018","C","10/21/2020","324 N Wheeling Ave","Kansas City","MO","64123","45690","Jackson","4","East","North Indian Mound","39.114946","-94.510752","324 N Wheeling Ave   64123 (39.114946, -94.510752)"
"1054244","11/30/2011","C","04/06/2018","4316 Askew Ave","Kansas City","MO","64130","33936","Jackson","3","East","Oak Park Southeast","39.047127","-94.542815","4316 Askew Ave   64130 (39.047127, -94.542815)"
"1127804","01/07/2015","C","01/07/2015","2901 E 35th St","Kansas City","MO","64128","28649","Jackson","3","East","Oak Park Northwest","39.062329","-94.549576","2901 E 35th St   64128 (39.062329, -94.549576)"
"1064720","05/16/2012","C","08/26/2014","2440 Montgall Ave","Kansas City","MO","64127","16248","Jackson","3","East","Washington Wheatley","39.081004","-94.551454","2440 Montgall Ave   64127 (39.081004, -94.551454)"
"1172716","02/13/2017","C","04/26/2018","3020 Mersington Ave","Kansas City","MO","64128","24142","Jackson","3","East","Ingleside","39.070023","-94.538173","3020 Mersington Ave   64128 (39.070023, -94.538173)"
"1128504","01/26/2015","C","02/01/2019","5050 College Ave","Kansas City","MO","64130","35328","Jackson","3","Metro","North Town Fork Creek","39.033678","-94.54697","5050 College Ave   64130 (39.033678, -94.54697)"
"1120320","08/14/2014","C","01/04/2016","7218 Walrond Ave","Kansas City","MO","64132","3509","Jackson","5","Metro","Noble And Gregory Ridge","38.995165","-94.550382","7218 Walrond Ave   64132 (38.995165, -94.550382)"
"1064093","05/10/2012","C","06/25/2014","2408 Montgall Ave","Kansas City","MO","64127","16314","Jackson","3","East","Washington Wheatley","39.082711","-94.551382","2408 Montgall Ave   64127 (39.082711, -94.551382)"
"1074585","09/05/2012","C","08/22/2013","3915 Woodland Ave","Kansas City","MO","64130","136567","Jackson","3","Central","Ivanhoe Southwest","39.055149","-94.562522","3915 Woodland Ave   64130 (39.055149, -94.562522)"
"1069021","07/13/2012","C","09/11/2017","5707 EWING AVE","Kansas City","MO","64129","54705","Jackson","5","Metro","Brown Estates","39.02099","-94.506339","5707 EWING AVE   64129 (39.02099, -94.506339)"
"1161372","07/06/2016","C","11/21/2019","521 Campbell St","Kansas City","MO","64106","39352","Jackson","4","Central","Columbus Park","39.109521","-94.572934","521 Campbell St   64106 (39.109521, -94.572934)"
"1048499","08/24/2011","C","03/24/2014","2831 Wabash Ave","Kansas City","MO","64128","26534","Jackson","3","East","Key Coalition","39.074223","-94.553471","2831 Wabash Ave   64128 (39.074223, -94.553471)"
"1080513","11/27/2012","C","01/27/2015","3311 E 24TH TER","Kansas City","MO","64127","16084","Jackson","3","East","Washington Wheatley","39.08154","-94.543915","3311 E 24TH TER   64127 (39.08154, -94.543915)"
"1154457","03/31/2016","C","12/20/2016","4909 MONTGALL AVE","Kansas City","MO","64130","35147","Jackson","3","Metro","North Town Fork Creek","39.036883","-94.55308","4909 MONTGALL AVE   64130 (39.036883, -94.55308)"
"1197855","05/14/2018","C","06/28/2018","2524 MERSINGTON AVE","Kansas City","MO","64127","17600","Jackson","3","East","East Community Team South","39.07928","-94.537558","2524 MERSINGTON AVE   64127 (39.07928, -94.537558)"
"1163913","08/15/2016","C","10/11/2016","4535 South Benton Ave","Kansas City","MO","64130","34813","Jackson","3","East","Oak Park Southwest","39.043192","-94.550725","4535 South Benton Ave   64130 (39.043192, -94.550725)"
"1080194","11/20/2012","C","10/14/2014","707 UTLEY AVE","Kansas City","MO","64125","47127","Jackson","4","East","North Blue Ridge","39.101186","-94.482288","707 UTLEY AVE   64125 (39.101186, -94.482288)"
"1047933","08/19/2011","C","10/31/2013","3318 Wayne Ave","Kansas City","MO","64109","125993","Jackson","3","Central","Linwood Homeowners-Ivanhoe","39.065852","-94.56494","3318 Wayne Ave   64109 (39.065852, -94.56494)"
"1068122","06/29/2012","C","08/03/2012","2430 KENSINGTON AVE","Kansas City","MO","64127","19339","Jackson","3","East","East Community Team South","39.081076","-94.532069","2430 KENSINGTON AVE   64127 (39.081076, -94.532069)"
"1102300","10/24/2013","C","02/10/2017","5635 BONITA AVE","Kansas City","MO","64128","21625","Jackson","3","East","South Blue Valley","39.073563","-94.516581","5635 BONITA AVE   64128 (39.073563, -94.516581)"
"1170203","12/02/2016","C","03/18/2019","1322 Cleveland Ave","Kansas City","MO","64127","11433","Jackson","3","East","Lykins","39.096154","-94.538038","1322 Cleveland Ave   64127 (39.096154, -94.538038)"
"1088873","05/08/2013","C","02/07/2014","4336 CHARLOTTE ST","Kansas City","MO","64110","139089","Jackson","4","Central","South Hyde Park","39.047666","-94.576439","4336 CHARLOTTE ST   64110 (39.047666, -94.576439)"
"1095676","07/11/2013","C","01/22/2021","2026 INDIANA AVE","Kansas City","MO","64127","15812","Jackson","3","East","Washington Wheatley","39.08681","-94.543094","2026 INDIANA AVE   64127 (39.08681, -94.543094)"
"1167776","10/10/2016","C","02/19/2019","8205 PASEO","Kansas City","MO","64132","225767","Jackson","5","Metro","Marlborough Heights/Marlborough Pride","38.978229","-94.566835","8205 PASEO   64132 (38.978229, -94.566835)"
"1047793","08/19/2011","C","08/09/2016","6511 Woodson Rd","Kansas City","MO","64133","65180","Jackson","5","East","Little Blue","39.003092","-94.442858","6511 Woodson Rd   64133 (39.003092, -94.442858)"
"1048070","08/20/2011","C","03/30/2018","723 Cambridge Ave","Kansas City","MO","64125","5130","Jackson","4","East","Sheffield","39.102575","-94.501406","723 Cambridge Ave   64125 (39.102575, -94.501406)"
"1191272","01/08/2018","C","11/07/2019","4925 Park Ave","Kansas City","MO","64130","138942","Jackson","3","Metro","Blue Hills","39.036479","-94.557765","4925 Park Ave   64130 (39.036479, -94.557765)"
"1115170","06/13/2014","C","07/07/2015","1701 E 55th St","Kansas City","MO","64110","146842","Jackson","5","Metro","Blue Hills","39.026694","-94.565489","1701 E 55th St   64110 (39.026694, -94.565489)"
"1152736","02/29/2016","C","12/30/2016","8621 SMART AVE","Kansas City","MO","64125","46982","Jackson","4","East","North Blue Ridge","39.106198","-94.480699","8621 SMART AVE   64125 (39.106198, -94.480699)"
"1194050","03/14/2018","C","02/27/2019","430 Booth Ave","Kansas City","MO","64125","46800","Jackson","4","East","North Blue Ridge","39.108215","-94.482346","430 Booth Ave   64125 (39.108215, -94.482346)"
"1203454","07/20/2018","C","02/19/2019","5418 E 27th St","Kansas City","MO","64127","20635","Jackson","3","East","South Blue Valley","39.076262","-94.519277","5418 E 27th St   64127 (39.076262, -94.519277)"
"1126675","12/03/2014","C","04/16/2015","823 White Ave","Kansas City","MO","64125","5555","Jackson","4","East","Sheffield","39.101667","-94.511112","823 White Ave   64125 (39.101667, -94.511112)"
"1073965","08/27/2012","C","09/17/2013","4830 PARK AVE","Kansas City","MO","64130","138502","Jackson","3","Metro","Blue Hills","39.038002","-94.558341","4830 PARK AVE   64130 (39.038002, -94.558341)"
"1007035","01/20/2010","C","02/09/2016","3212 Garfield Ave","Kansas City","MO","64109","126283","Jackson","3","Central","Key Coalition","39.067648","-94.559002","3212 Garfield Ave   64109 (39.067648, -94.559002)"
"1153836","03/21/2016","C","03/21/2017","5324 E 24TH ST","Kansas City","MO","64127","20378","Jackson","3","East","South Blue Valley","39.081616","-94.520284","5324 E 24TH ST   64127 (39.081616, -94.520284)"
"1073955","08/27/2012","C","10/12/2012","4210 Virginia Ave","Kansas City","MO","64110","260823","Jackson","3","Central","Manheim Park","39.050057","-94.569235","4210 Virginia Ave   64110 (39.050057, -94.569235)"
"1139141","06/29/2015","C","07/21/2015","322 Bellaire Ave","Kansas City","MO","64123","46155","Jackson","4","East","South Indian Mound","39.109604","-94.513553","322 Bellaire Ave   64123 (39.109604, -94.513553)"
"1220021","05/28/2019","C","06/27/2019","428 Monroe Ave","Kansas City","MO","64124","42011","Jackson","4","East","Scarritt Point","39.108221","-94.537742","428 Monroe Ave   64124 (39.108221, -94.537742)"
"1048471","08/24/2011","C","07/25/2012","1505 E 18th St","Kansas City","MO","64108","13240","Jackson","3","Central","Wendell Phillips","39.09097","-94.564175","1505 E 18th St   64108 (39.09097, -94.564175)"
"1074552","09/05/2012","C","08/04/2014","1523 ELMWOOD AVE","Kansas City","MO","64127","8858","Jackson","3","East","East Community Team North","39.093165","-94.528621","1523 ELMWOOD AVE   64127 (39.093165, -94.528621)"
"1047389","08/17/2011","C","09/23/2014","1914 KANSAS AVE","Kansas City","MO","64127","15371","Jackson","3","East","Washington Wheatley","39.088356","-94.548772","1914 KANSAS AVE   64127 (39.088356, -94.548772)"
"1074613","09/05/2012","C","12/18/2014","4610 Tracy Ave","Kansas City","MO","64110","138031","Jackson","3","Central","Manheim Park","39.042972","-94.570847","4610 Tracy Ave   64110 (39.042972, -94.570847)"
"1129263","02/11/2015","C","03/10/2016","1112 MYRTLE AVE","Kansas City","MO","64127","10208","Jackson","3","East","Lykins","39.098969","-94.536346","1112 MYRTLE AVE   64127 (39.098969, -94.536346)"
"1205001","08/14/2018","C","01/28/2020","5644 E 31st St","Kansas City","MO","64128","22070","Jackson","3","East","South Blue Valley","39.06895","-94.516584","5644 E 31st St   64128 (39.06895, -94.516584)"
"1047208","08/17/2011","C","08/06/2012","5005 WALROND AVE","Kansas City","MO","64130","35341","Jackson","3","Metro","North Town Fork Creek","39.035064","-94.547383","5005 WALROND AVE   64130 (39.035064, -94.547383)"
"1047905","08/19/2011","C","05/31/2013","1705 E 39th St","Kansas City","MO","64110","135491","Jackson","3","Central","Ivanhoe Southwest","39.055574","-94.563777","1705 E 39th St   64110 (39.055574, -94.563777)"
"1248870","12/14/2020","C","05/20/2021","2731 Olive St","Kansas City","MO","64109","26619","Jackson","3","Central","Key Coalition","39.075959","-94.55451","2731 Olive St   64109 (39.075959, -94.55451)"
